Gene,Pearson_Corr_Size,P_Value_Size,BH_Corrected_P_Value_Size,Pearson_Corr_KRN,P_Value_KRN,BH_Corrected_P_Value_KRN
GRMZM2G059865,-0.19489379924354316,0.36145017356303244,0.9984265756175531,0.024681314736685885,0.9088608617347509,0.9987071952047535
GRMZM2G330436,-0.26973644037391487,0.20242447081599096,0.9984265756175531,-0.007858453200797887,0.9709286225720519,0.9987071952047535
GRMZM2G032104,0.2345870467741587,0.26986525680387535,0.9984265756175531,0.528170201919836,0.007978647179249147,0.9987071952047535
GRMZM2G073979,0.08522153431176469,0.6921547795604089,0.9984265756175531,-0.24053660633602642,0.2575506894221065,0.9987071952047535
GRMZM2G374779,-0.05291425661242381,0.806023523452488,0.9984265756175531,-0.08249232519829316,0.7015651121394508,0.9987071952047535
GRMZM2G002121,-0.2350253881094827,0.2689453734414159,0.9984265756175531,-0.3317736597590922,0.11323351844015156,0.9987071952047535
GRMZM2G026639,-0.16408889147854835,0.44357507268462576,0.9984265756175531,-0.4509077906201072,0.02700631977800156,0.9987071952047535
GRMZM2G474194,0.12223633235063126,0.5693519515257037,0.9984265756175531,0.0027730743576431585,0.989739504947189,0.9987071952047535
GRMZM2G161560,-0.12817554744989068,0.5505883521576821,0.9984265756175531,-0.24388458013864056,0.2507830362734355,0.9987071952047535
GRMZM2G060296,0.19845779309941886,0.3525617006193613,0.9984265756175531,0.0012161554481859398,0.9955000790854658,0.9994227841558482
TUBB1,-0.2612443414782473,0.21755334310963356,0.9984265756175531,-0.1400878478306865,0.5138320495733267,0.9987071952047535
GRMZM2G114459,-0.18472716031796954,0.3875133139743635,0.9984265756175531,-0.23687106116384202,0.2650941079667474,0.9987071952047535
GRMZM2G109725,-0.5944554829432808,0.0021885658202558567,0.9984265756175531,-0.05754420696856651,0.789407789755096,0.9987071952047535
GRMZM2G329177,-0.3296865163186862,0.1156583699470573,0.9984265756175531,-0.17293563703313602,0.419034828447521,0.9987071952047535
GRMZM2G085691,0.23856310102118355,0.261594621367618,0.9984265756175531,0.10307383894679824,0.631739327432094,0.9987071952047535
GRMZM2G085827,-0.3844587243356292,0.06360529016988695,0.9984265756175531,-0.2898558753111896,0.16947260116172683,0.9987071952047535
GRMZM2G042552,-0.00026414547296264856,0.9990226255009649,0.9996375907287974,0.03677788139227545,0.8645280847901491,0.9987071952047535
GRMZM2G042539,-0.004599715894029809,0.9829816162390803,0.9984265756175531,-0.011461597134499395,0.9576090721250932,0.9987071952047535
GRMZM2G042250,0.25076543110363314,0.237239427306813,0.9984265756175531,0.19434763576480413,0.3628237268549819,0.9987071952047535
GRMZM2G041881,-0.05330956025047281,0.8046015860610329,0.9984265756175531,0.20209528989960915,0.3436238960736105,0.9987071952047535
GRMZM5G802392,0.09498501182969135,0.6588589169644885,0.9984265756175531,-0.2388765011914402,0.26094971999508554,0.9987071952047535
GRMZM2G006673,-0.16673557649697632,0.4361545452461598,0.9984265756175531,-0.18896281572753476,0.3765280717025848,0.9987071952047535
GRMZM2G015384,0.08204990392309922,0.7030946441150229,0.9984265756175531,0.20586592278705315,0.3345024769587426,0.9987071952047535
GRMZM2G137366,-0.08797515157019756,0.6827048743069526,0.9984265756175531,-0.27626182050580744,0.19129533078383745,0.9987071952047535
GRMZM2G137352,-0.38224439938815585,0.06527701834532218,0.9984265756175531,-0.25179959075632063,0.23524628120884875,0.9987071952047535
GRMZM2G137236,0.09187103978306017,0.6694138277310652,0.9984265756175531,-0.013589152925185862,0.9497491931358335,0.9987071952047535
GRMZM2G092232,-0.005422938612302239,0.979936345097263,0.9984265756175531,-0.456729371700317,0.024859542883325553,0.9987071952047535
GRMZM2G092165,-0.25438712498490096,0.23030770076924437,0.9984265756175531,-0.3071245496268474,0.1443368913988995,0.9987071952047535
GRMZM2G144197,0.3942738749697697,0.05658780876079506,0.9984265756175531,0.05768414321706261,0.7889069391160605,0.9987071952047535
GRMZM2G144101,0.19007258611189026,0.37367970864310085,0.9984265756175531,0.10851843852912303,0.6137385468239465,0.9987071952047535
GRMZM2G077669,0.10945446258815428,0.6106652098822852,0.9984265756175531,0.07485219008241671,0.7281317548957807,0.9987071952047535
GRMZM2G077760,0.15413465534289716,0.4720748962216384,0.9984265756175531,0.10117655110660007,0.6380607852853846,0.9987071952047535
GRMZM2G077769,0.05012135445679092,0.8160865610182771,0.9984265756175531,-0.35869889133483046,0.0852026657123871,0.9987071952047535
GRMZM2G077780,0.2138585190971734,0.315653442349785,0.9984265756175531,0.1519272859621299,0.4785192139909722,0.9987071952047535
GRMZM2G126199,-0.0433166248968464,0.8407198907232682,0.9984265756175531,0.14761346375883896,0.4912410445499629,0.9987071952047535
GRMZM2G426802,0.21649098780456338,0.3095902988112224,0.9984265756175531,0.1358137362742063,0.5268821783026003,0.9987071952047535
GRMZM2G055880,0.20871126206804652,0.3277164832139359,0.9984265756175531,-0.07596292221977644,0.7242497050925784,0.9987071952047535
GRMZM2G062210,0.11522157724203361,0.5918715597709199,0.9984265756175531,-0.2893972809045785,0.17017916845849348,0.9987071952047535
GRMZM2G044388,0.127875645692306,0.5515289929984991,0.9984265756175531,0.07865405448015414,0.7148715654681519,0.9987071952047535
GRMZM2G029713,0.02222038087902938,0.917916658697487,0.9984265756175531,0.2283654391477904,0.2831378011606743,0.9987071952047535
GRMZM2G030173,0.07212228271695897,0.7377003089013204,0.9984265756175531,0.31917347981738,0.12845187984699546,0.9987071952047535
GRMZM2G085909,-0.12975384459470324,0.5456501682917071,0.9984265756175531,-0.008846836557554055,0.9672740213103517,0.9987071952047535
CDC2,-0.10079565529405059,0.6393328421052926,0.9984265756175531,0.07873563471498214,0.7145878885981304,0.9987071952047535
GRMZM2G008773,-0.17564978939651538,0.41165789629064015,0.9984265756175531,-0.09453917840768239,0.6603662711900942,0.9987071952047535
GRMZM2G308570,-0.06513793466264618,0.7623506869766715,0.9984265756175531,-0.10096515115336405,0.6387666640131008,0.9987071952047535
GRMZM2G087207,0.07419223773910223,0.7304413951354797,0.9984265756175531,-0.0776669344590331,0.7183069462527161,0.9987071952047535
GRMZM2G013634,0.08337913278307893,0.6985026435603661,0.9984265756175531,0.20293873463692913,0.3415708387871692,0.9987071952047535
GRMZM2G013986,-0.3055893998589614,0.14645695269641854,0.9984265756175531,-0.13514908745019233,0.5289255798199858,0.9987071952047535
GRMZM2G014382,0.17806047242430317,0.4051663233787624,0.9984265756175531,0.5415963951377858,0.006268193829647384,0.9791568757839255
GRMZM2G453794,0.048038804470659974,0.8236086370795258,0.9984265756175531,-0.1504371643656992,0.4828946825973785,0.9987071952047535
H4C14,0.07495643672744198,0.7277671314152778,0.9984265756175531,-0.07117501547872274,0.7410294952047065,0.9987071952047535
GRMZM2G169402,-0.04795672863993377,0.8239054046634392,0.9984265756175531,-0.12663936622339264,0.555414312835926,0.9987071952047535
GRMZM2G104468,-0.0526018253326654,0.8071477849878462,0.9984265756175531,0.09981574720159637,0.6426099165468953,0.9987071952047535
GRMZM2G136859,-0.112428802195196,0.6009417431571589,0.9984265756175531,-0.11880797838000613,0.5803105226525026,0.9987071952047535
GRMZM2G176820,0.010188865291229934,0.9623128336680852,0.9984265756175531,0.19984014046762189,0.34914911374638946,0.9987071952047535
GRMZM2G176840,-0.02545810308706558,0.9060046522072948,0.9984265756175531,0.017646028145135634,0.9347749721591186,0.9987071952047535
GRMZM2G026223,-0.1797340247842324,0.4006934003150307,0.9984265756175531,0.12195621403766065,0.5702438789959667,0.9987071952047535
GRMZM2G070047,-0.13813793121042206,0.5197662578421139,0.9984265756175531,-0.045229919612729146,0.8337780049085767,0.9987071952047535
GRMZM2G070259,0.1138564846526967,0.5962977142259248,0.9984265756175531,-0.19453743484468766,0.3623460547261728,0.9987071952047535
GRMZM2G159427,-0.22710759231732963,0.28587025235752583,0.9984265756175531,0.02396001179670342,0.9115140365111356,0.9987071952047535
GRMZM2G165422,0.4080353750998539,0.04777546189610698,0.9984265756175531,0.3039125747659536,0.1487978738822635,0.9987071952047535
GRMZM2G119736,0.051073696880425866,0.8126519458895969,0.9984265756175531,0.057550155402627326,0.789386497861777,0.9987071952047535
GRMZM2G119494,-0.25601768149134935,0.2272310773964872,0.9984265756175531,-0.2614248800101618,0.21722406074297265,0.9987071952047535
GRMZM2G119471,0.10809099225570772,0.6151441279777284,0.9984265756175531,0.20326431227780345,0.3407802962767576,0.9987071952047535
GRMZM2G089976,0.17754877433458424,0.4065394624946919,0.9984265756175531,0.0024488198203214077,0.9909392096196696,0.9988100532226853
GRMZM2G055575,-0.1495176751296096,0.4856046380617742,0.9984265756175531,-0.0378020286287208,0.8607909676157366,0.9987071952047535
GRMZM2G025552,0.09922732658522945,0.6445808702208069,0.9984265756175531,-0.19297118258794185,0.36629883756951487,0.9987071952047535
GRMZM2G319022,0.19849560769918934,0.3524680878898536,0.9984265756175531,0.26406827926354975,0.2124409374696016,0.9987071952047535
GRMZM2G129243,0.09229265728506778,0.6679811273251569,0.9984265756175531,0.25809320720939793,0.22335444262590484,0.9987071952047535
GRMZM2G105571,-0.04214116258360073,0.8449904990526121,0.9984265756175531,0.1957565595605883,0.359286594290864,0.9987071952047535
GRMZM2G065718,0.05638290411923156,0.7935673542273044,0.9984265756175531,0.3011778818710527,0.15267239060846985,0.9987071952047535
GRMZM2G448701,0.15957354737008106,0.4563880513660699,0.9984265756175531,0.32419396285890595,0.12222067242464223,0.9987071952047535
GRMZM2G143588,0.15662345658912843,0.46486265498928697,0.9984265756175531,-0.06157167366195418,0.7750260336181128,0.9987071952047535
GRMZM2G032409,0.168209360707488,0.4320515221169713,0.9984265756175531,0.007259864230867127,0.9731422184946659,0.9987071952047535
GRMZM2G031859,-0.2622604663397983,0.21570438546334628,0.9984265756175531,-0.24491277181625104,0.2487280232367793,0.9987071952047535
GRMZM2G137312,0.12735500983390843,0.5531637074796003,0.9984265756175531,-0.016242008935183537,0.939955132887236,0.9987071952047535
GRMZM2G092923,-0.009314226844569397,0.9655460384927675,0.9984265756175531,0.060262667462374145,0.7796927653600789,0.9987071952047535
GRMZM2G089092,0.35183739401358777,0.09179002918014842,0.9984265756175531,0.4582142748983031,0.024334560736515992,0.9987071952047535
