sampName,condition,size,size_bin,Field,type,KRN,Total_kernel_number,IM_height,Cob_length,Cob_diameter,Number_kernels_row,twenty_kernel_weight,SAM_radius,SAM_height
Ms71_2b,Ms71,340.8536007,b,WN21,non_stiff,13.92,223.67,223.085672,146.03,25.08,20.8,4.46,68.6205,89.6975
NC350_1,NC350,400,c,WN20,tropical,13.66,239.95,241.9121877,104.08,22.29,18.7,3.74,,
NC350_2,NC350,400,c,WN20,tropical,13.66,239.95,241.9121877,104.08,22.29,18.7,3.74,,
NC358_1,NC358,299,a,WN20,tropical,12.09,195.16,217.4274904,130.58,24.81,22.23,4.57,72.0209,94.9426
NC358_2,NC358,299,a,WN20,tropical,12.09,195.16,217.4274904,130.58,24.81,22.23,4.57,72.0209,94.9426
NC358_3,NC358,299,a,WN20,tropical,12.09,195.16,217.4274904,130.58,24.81,22.23,4.57,72.0209,94.9426
Oh7B_1b,Oh7B,340.3739405,b,WN21,non_stiff,13.8,194.47,227.7858853,145.17,22.29,24.01,4.76,81.7415,116.4432
Oh7B_2b,Oh7B,340.3739405,b,WN21,non_stiff,13.8,194.47,227.7858853,145.17,22.29,24.01,4.76,81.7415,116.4432
Oh7B_1,Oh7B,340.3739405,b,WN20,non_stiff,13.8,194.47,227.7858853,145.17,22.29,24.01,4.76,81.7415,116.4432
Oh7B_2,Oh7B,340.3739405,b,WN20,non_stiff,13.8,194.47,227.7858853,145.17,22.29,24.01,4.76,81.7415,116.4432
Oh7B_3,Oh7B,340.3739405,b,WN20,non_stiff,13.8,194.47,227.7858853,145.17,22.29,24.01,4.76,81.7415,116.4432
P39_1,P39,362.7740758,b,WN20,sweet,13.31,222.07,232.0040488,114.85,22.77,21.64,3.21,,
P39_2,P39,362.7740758,b,WN20,sweet,13.31,222.07,232.0040488,114.85,22.77,21.64,3.21,,
Tx303_1b,Tx303,318.1399204,b,WN21,tropical,13.07,184.48,238.1050765,119.84,26.52,20.7,5.31,69.6938,113.1864
Tx303_2b,Tx303,318.1399204,b,WN21,tropical,13.07,184.48,238.1050765,119.84,26.52,20.7,5.31,69.6938,113.1864
Oh43_1,Oh43,341,b,WN20,non_stiff,14.55,206.5,224.5851306,153.22,26.21,26.59,3.85,72.0006,108.2614
Oh43_2,Oh43,341,b,WN20,non_stiff,14.55,206.5,224.5851306,153.22,26.21,26.59,3.85,72.0006,108.2614
Oh43_3,Oh43,341,b,WN20,non_stiff,14.55,206.5,224.5851306,153.22,26.21,26.59,3.85,72.0006,108.2614
Tzi8_1,Tzi8,406.1756351,c,WN20,tropical,14.09,295.22,240.5464457,121,24.86,20.14,3.92,82.8809,134.3711
Tzi8_2,Tzi8,406.1756351,c,WN20,tropical,14.09,295.22,240.5464457,121,24.86,20.14,3.92,82.8809,134.3711
Tzi8_3,Tzi8,406.1756351,c,WN20,tropical,14.09,295.22,240.5464457,121,24.86,20.14,3.92,82.8809,134.3711
